machine_type,section,domain,condition,clips,score_delta_mean,score_delta_median,residual_minus_near_logmel_db_mean,feature_shift_l1_db_mean
ToyCar,section_00,source,anomaly,50,0.013795645680147253,0.0114612534466918,-0.25590586231609813,0.44034275526425637
ToyCar,section_00,source,normal,50,-0.015093118106617993,-0.005259291704963864,-0.23274743351480406,0.4178121107474885
ToyCar,section_00,target,anomaly,50,-0.013509688074448611,0.014017693014706012,-0.48802829418111743,0.6868912276138428
ToyCar,section_00,target,normal,50,-0.02477624080882375,-0.03501881318933986,-0.4902493058439672,0.6940812779329346
ToyCarEmu,section_00,source,anomaly,50,0.008534636466733794,0.008475223664315301,-1.0698094002449094,1.3255486089185136
ToyCarEmu,section_00,source,normal,50,0.05344417842741915,0.057955177881384046,-1.0251457638491572,1.27274584313495
ToyCarEmu,section_00,target,anomaly,50,-0.31251023815524187,-0.23180010395665285,-1.074630520829662,1.3150530799500906
ToyCarEmu,section_00,target,normal,50,0.02647017284106198,0.07705931304603553,-1.031571230614754,1.2688393482088371
bearingEmu,section_00,source,anomaly,50,0.20121402204692537,0.6402416439118124,-2.070773043257514,2.3808786709530123
bearingEmu,section_00,source,normal,50,0.594727346278317,0.5664169953478968,-2.1183583949193725,2.4152651060715784
bearingEmu,section_00,target,anomaly,50,0.49060393279733033,0.6457802386731393,-2.2690728912694156,2.576907652472911
bearingEmu,section_00,target,normal,50,0.6954665535244742,0.6395034543133091,-2.150501762260368,2.4462327234664105
fan,section_00,source,anomaly,50,0.36639528974514546,0.34816467877730606,-2.3642616440770725,2.631215045524353
fan,section_00,source,normal,50,0.2813927266636325,0.27214150042981355,-2.504575259864505,2.766830351924814
fan,section_00,target,anomaly,50,0.3985852516939728,0.3934657223402107,-2.581736167378029,2.835959101201939
fan,section_00,target,normal,50,0.43210495044498404,0.43216856922532365,-2.586946074155249,2.8443114656592727
gearboxEmu,section_00,source,anomaly,50,0.5665923594255661,0.610798284536811,-2.1167106110374982,2.4914852706245556
gearboxEmu,section_00,source,normal,50,0.5743157014815942,0.5821851613066364,-2.1680324280364465,2.55224069865407
gearboxEmu,section_00,target,anomaly,50,0.47289464818466825,0.5875583093143204,-1.9535430477238926,2.3256558645990246
gearboxEmu,section_00,target,normal,50,0.32243051868426376,0.6072297228964398,-2.0414571187967976,2.4159765588858253
sliderEmu,section_00,source,anomaly,50,0.4248630473806634,0.4082619873836979,-1.2819279007927773,1.6174844652758287
sliderEmu,section_00,source,normal,50,0.1961039138349517,0.21242817999089603,-1.364976107197356,1.7005451412192896
sliderEmu,section_00,target,anomaly,50,0.5561886377427183,0.4026699819225321,-1.2872270178409615,1.6213528157319899
sliderEmu,section_00,target,normal,50,0.4635610240948621,0.30872601259101895,-1.2952503780472704,1.6322899449777042
valveEmu,section_00,source,anomaly,50,-0.06939253387944962,-0.058670468623583716,-1.4636543999549392,2.05476253795113
valveEmu,section_00,source,normal,50,0.20996986245954716,0.21250537267394787,-0.9646341312599168,2.457562058510582
valveEmu,section_00,target,anomaly,50,0.27494531566039626,0.2955427348806632,-0.9411104040205852,2.5220048961707224
valveEmu,section_00,target,normal,50,0.3261977144012947,0.283262698472897,-0.817393915298766,2.517774902702673
