system,scope,machine_type,section,metric,value
B00,all,ToyCar,section_00,auc_source,0.7312000000000001
B00,all,ToyCar,section_00,auc_target,0.38400000000000006
B00,all,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5442105263157895
B00,all,ToyCarEmu,section_00,auc_source,0.7830000000000001
B00,all,ToyCarEmu,section_00,auc_target,0.6093999999999999
B00,all,ToyCarEmu,section_00,pauc_all_max_fpr_0_1,0.611578947368421
B00,all,bearingEmu,section_00,auc_source,0.6146
B00,all,bearingEmu,section_00,auc_target,0.5811999999999999
B00,all,bearingEmu,section_00,pauc_all_max_fpr_0_1,0.5957894736842105
B00,all,fan,section_00,auc_source,0.6208
B00,all,fan,section_00,auc_target,0.48019999999999996
B00,all,fan,section_00,pauc_all_max_fpr_0_1,0.533157894736842
B00,all,gearboxEmu,section_00,auc_source,0.7016
B00,all,gearboxEmu,section_00,auc_target,0.48240000000000005
B00,all,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5263157894736842
B00,all,sliderEmu,section_00,auc_source,0.6718000000000001
B00,all,sliderEmu,section_00,auc_target,0.4506
B00,all,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5047368421052632
B00,all,valveEmu,section_00,auc_source,0.6956
B00,all,valveEmu,section_00,auc_target,0.7074
B00,all,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5615789473684211
B01,all,ToyCar,section_00,auc_source,0.7518000000000001
B01,all,ToyCar,section_00,auc_target,0.4014
B01,all,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5442105263157895
B01,all,ToyCarEmu,section_00,auc_source,0.7373999999999999
B01,all,ToyCarEmu,section_00,auc_target,0.5368
B01,all,ToyCarEmu,section_00,pauc_all_max_fpr_0_1,0.5426315789473685
B01,all,bearingEmu,section_00,auc_source,0.7014
B01,all,bearingEmu,section_00,auc_target,0.647
B01,all,bearingEmu,section_00,pauc_all_max_fpr_0_1,0.6031578947368421
B01,all,fan,section_00,auc_source,0.8208
B01,all,fan,section_00,auc_target,0.347
B01,all,fan,section_00,pauc_all_max_fpr_0_1,0.5057894736842106
B01,all,gearboxEmu,section_00,auc_source,0.748
B01,all,gearboxEmu,section_00,auc_target,0.4756
B01,all,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5405263157894737
B01,all,sliderEmu,section_00,auc_source,0.7168000000000001
B01,all,sliderEmu,section_00,auc_target,0.4522
B01,all,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5031578947368421
B01,all,valveEmu,section_00,auc_source,0.5786
B01,all,valveEmu,section_00,auc_target,0.5204
B01,all,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5026315789473684
B02,all,ToyCar,section_00,auc_source,0.7578
B02,all,ToyCar,section_00,auc_target,0.38780000000000003
B02,all,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5373684210526316
B02,all,ToyCarEmu,section_00,auc_source,0.7658
B02,all,ToyCarEmu,section_00,auc_target,0.6117999999999999
B02,all,ToyCarEmu,section_00,pauc_all_max_fpr_0_1,0.5684210526315789
B02,all,bearingEmu,section_00,auc_source,0.6146
B02,all,bearingEmu,section_00,auc_target,0.5828
B02,all,bearingEmu,section_00,pauc_all_max_fpr_0_1,0.596842105263158
B02,all,fan,section_00,auc_source,0.6145999999999999
B02,all,fan,section_00,auc_target,0.4834
B02,all,fan,section_00,pauc_all_max_fpr_0_1,0.5352631578947369
B02,all,gearboxEmu,section_00,auc_source,0.6774
B02,all,gearboxEmu,section_00,auc_target,0.5028
B02,all,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5378947368421052
B02,all,sliderEmu,section_00,auc_source,0.6676
B02,all,sliderEmu,section_00,auc_target,0.459
B02,all,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5052631578947369
B02,all,valveEmu,section_00,auc_source,0.6768000000000001
B02,all,valveEmu,section_00,auc_target,0.6856000000000001
B02,all,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5542105263157895
B00,real,ToyCar,section_00,auc_source,0.7312000000000001
B00,real,ToyCar,section_00,auc_target,0.38400000000000006
B00,real,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5442105263157895
B00,real,fan,section_00,auc_source,0.6208
B00,real,fan,section_00,auc_target,0.48019999999999996
B00,real,fan,section_00,pauc_all_max_fpr_0_1,0.533157894736842
B01,real,ToyCar,section_00,auc_source,0.7518000000000001
B01,real,ToyCar,section_00,auc_target,0.4014
B01,real,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5442105263157895
B01,real,fan,section_00,auc_source,0.8208
B01,real,fan,section_00,auc_target,0.347
B01,real,fan,section_00,pauc_all_max_fpr_0_1,0.5057894736842106
B02,real,ToyCar,section_00,auc_source,0.7578
B02,real,ToyCar,section_00,auc_target,0.38780000000000003
B02,real,ToyCar,section_00,pauc_all_max_fpr_0_1,0.5373684210526316
