reference,candidate,domain,metric,excluded_machine_type,excluded_section,retained_machine_sections,full_mean_delta,leave_one_out_mean_delta,deviation_from_full,sign_matches_full
B00,B01,all,auc,ToyCar,section_00,6,-0.005614285714285683,-0.009716666666666632,-0.004102380952380949,True
B00,B01,all,auc,ToyCarEmu,section_00,6,-0.005614285714285683,0.003300000000000025,0.008914285714285708,False
B00,B01,all,auc,bearingEmu,section_00,6,-0.005614285714285683,-0.019266666666666637,-0.013652380952380954,True
B00,B01,all,auc,fan,section_00,6,-0.005614285714285683,-0.012116666666666645,-0.006502380952380963,True
B00,B01,all,auc,gearboxEmu,section_00,6,-0.005614285714285683,-0.00984999999999997,-0.004235714285714287,True
B00,B01,all,auc,sliderEmu,section_00,6,-0.005614285714285683,-0.010433333333333294,-0.004819047619047612,True
B00,B01,all,auc,valveEmu,section_00,6,-0.005614285714285683,0.018783333333333374,0.024397619047619057,False
B00,B01,all,pauc_max_fpr_0_1,ToyCar,section_00,6,-0.01932330827067665,-0.022543859649122755,-0.0032205513784461064,True
B00,B01,all,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,-0.01932330827067665,-0.011052631578947333,0.008270676691729316,True
B00,B01,all,pauc_max_fpr_0_1,bearingEmu,section_00,6,-0.01932330827067665,-0.02377192982456135,-0.004448621553884702,True
B00,B01,all,pauc_max_fpr_0_1,fan,section_00,6,-0.01932330827067665,-0.01798245614035084,0.0013408521303258092,True
B00,B01,all,pauc_max_fpr_0_1,gearboxEmu,section_00,6,-0.01932330827067665,-0.024912280701754348,-0.005588972431077699,True
B00,B01,all,pauc_max_fpr_0_1,sliderEmu,section_00,6,-0.01932330827067665,-0.02228070175438592,-0.0029573934837092697,True
B00,B01,all,pauc_max_fpr_0_1,valveEmu,section_00,6,-0.01932330827067665,-0.012719298245613983,0.006604010025062666,True
B00,B01,source,auc,ToyCar,section_00,6,0.004457142857142874,0.001333333333333353,-0.003123809523809521,True
B00,B01,source,auc,ToyCarEmu,section_00,6,0.004457142857142874,0.012266666666666684,0.0078095238095238105,True
B00,B01,source,auc,bearingEmu,section_00,6,0.004457142857142874,-0.002666666666666669,-0.007123809523809543,False
B00,B01,source,auc,fan,section_00,6,0.004457142857142874,-0.025399999999999978,-0.029857142857142853,False
B00,B01,source,auc,gearboxEmu,section_00,6,0.004457142857142874,-0.00379999999999997,-0.008257142857142845,False
B00,B01,source,auc,sliderEmu,section_00,6,0.004457142857142874,3.700743415417188e-17,-0.004457142857142837,True
B00,B01,source,auc,valveEmu,section_00,6,0.004457142857142874,0.04946666666666666,0.045009523809523784,True
B00,B01,source,pauc_max_fpr_0_1,ToyCar,section_00,6,0.007518796992481187,0.009122807017543847,0.0016040100250626597,True
B00,B01,source,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,0.007518796992481187,0.005263157894736831,-0.0022556390977443563,True
