reference,candidate,machine_type,section,domain,metric,observed_reference,observed_candidate,observed_delta,bootstrap_mean_delta,ci95_low,ci95_high,probability_delta_gt_zero,iterations,seed
B00,B01,ToyCar,section_00,all,auc,0.5576,0.5766,0.019000000000000017,0.01907975000000001,-0.0040000000000000036,0.042099999999999915,0.944,2000,2026
B00,B01,ToyCar,section_00,all,pauc_max_fpr_0_1,0.5442105263157895,0.5442105263157895,0.0,0.002169473684210527,-0.021065789473684274,0.027381578947368364,0.548,2000,2026
B00,B01,ToyCar,section_00,source,auc,0.554,0.5772,0.0232,0.02274439999999999,-0.015199999999999991,0.059599999999999875,0.8935,2000,2026
B00,B01,ToyCar,section_00,source,pauc_max_fpr_0_1,0.4968421052631579,0.49473684210526314,-0.0021052631578947767,-0.0001242105263157894,-0.021052631578947434,0.023157894736842155,0.3955,2000,2026
B00,B01,ToyCar,section_00,target,auc,0.6387999999999999,0.6679999999999999,0.029200000000000004,0.029233199999999997,-0.023229999999999997,0.08401000000000002,0.858,2000,2026
B00,B01,ToyCar,section_00,target,pauc_max_fpr_0_1,0.5578947368421052,0.5578947368421052,0.0,-0.0031515789473684198,-0.04421052631578948,0.040000000000000036,0.3845,2000,2026
B00,B01,ToyCarEmu,section_00,all,auc,0.6961999999999999,0.6371,-0.05909999999999993,-0.05901270000000001,-0.09510249999999996,-0.02170000000000005,0.0015,2000,2026
B00,B01,ToyCarEmu,section_00,all,pauc_max_fpr_0_1,0.611578947368421,0.5426315789473685,-0.06894736842105254,-0.06641078947368421,-0.13527631578947372,-0.000526315789473708,0.0245,2000,2026
B00,B01,ToyCarEmu,section_00,source,auc,0.6204000000000001,0.5780000000000001,-0.04239999999999999,-0.0432822,-0.09360000000000002,0.00680000000000003,0.043,2000,2026
B00,B01,ToyCarEmu,section_00,source,pauc_max_fpr_0_1,0.5515789473684211,0.5726315789473684,0.021052631578947323,0.01676315789473684,-0.040000000000000036,0.08215789473684187,0.6805,2000,2026
B00,B01,ToyCarEmu,section_00,target,auc,0.858,0.7408,-0.11719999999999997,-0.1183822,-0.20123000000000005,-0.040780000000000274,0.0005,2000,2026
B00,B01,ToyCarEmu,section_00,target,pauc_max_fpr_0_1,0.6294736842105263,0.5242105263157895,-0.10526315789473684,-0.11812,-0.24421052631578943,-0.006315789473684275,0.0195,2000,2026
B00,B01,bearingEmu,section_00,all,auc,0.5979,0.6742,0.07630000000000003,0.07569304999999998,0.025997499999999917,0.12851499999999996,0.997,2000,2026
B00,B01,bearingEmu,section_00,all,pauc_max_fpr_0_1,0.5957894736842105,0.6031578947368421,0.00736842105263158,0.009064473684210527,-0.006842105263157874,0.02948684210526309,0.837,2000,2026
B00,B01,bearingEmu,section_00,source,auc,0.6199999999999999,0.6672,0.04720000000000013,0.0467114,-0.02400999999999991,0.11880000000000002,0.899,2000,2026
B00,B01,bearingEmu,section_00,source,pauc_max_fpr_0_1,0.5852631578947368,0.5894736842105264,0.004210526315789553,0.008949473684210528,-0.016894736842105355,0.04421052631578948,0.651,2000,2026
B00,B01,bearingEmu,section_00,target,auc,0.5800000000000001,0.6759999999999999,0.09599999999999986,0.09594479999999998,0.021989999999999912,0.18161,0.993,2000,2026
B00,B01,bearingEmu,section_00,target,pauc_max_fpr_0_1,0.6147368421052631,0.6210526315789474,0.006315789473684275,0.003921052631578947,-0.021105263157894797,0.03157894736842115,0.566,2000,2026
B00,B01,fan,section_00,all,auc,0.5505,0.5839000000000001,0.033400000000000096,0.03411049999999999,-0.03570250000000007,0.10470499999999994,0.839,2000,2026
B00,B01,fan,section_00,all,pauc_max_fpr_0_1,0.533157894736842,0.5057894736842106,-0.027368421052631486,-0.02731578947368421,-0.05789473684210528,-0.0031578947368421373,0.0075,2000,2026
B00,B01,fan,section_00,source,auc,0.6292,0.8128,0.18359999999999999,0.1821044,0.09118999999999994,0.2776099999999998,1.0,2000,2026
B00,B01,fan,section_00,source,pauc_max_fpr_0_1,0.5915789473684211,0.6442105263157895,0.05263157894736836,0.05081894736842105,-0.03578947368421048,0.14105263157894732,0.85,2000,2026
B00,B01,fan,section_00,target,auc,0.46359999999999996,0.3596,-0.10399999999999998,-0.1018566,-0.22321000000000008,0.01404999999999968,0.0395,2000,2026
B00,B01,fan,section_00,target,pauc_max_fpr_0_1,0.5094736842105263,0.4926315789473684,-0.01684210526315788,-0.017363157894736844,-0.05894736842105264,0.012631578947368438,0.134,2000,2026
B00,B01,gearboxEmu,section_00,all,auc,0.592,0.6118,0.01980000000000004,0.019566599999999996,-0.014702500000000044,0.05230000000000001,0.877,2000,2026
B00,B01,gearboxEmu,section_00,all,pauc_max_fpr_0_1,0.5263157894736842,0.5405263157894737,0.014210526315789562,0.013461842105263156,-0.021578947368421034,0.05052631578947375,0.7685,2000,2026
B00,B01,gearboxEmu,section_00,source,auc,0.6452,0.6991999999999999,0.05399999999999994,0.05418239999999999,0.0007699999999999197,0.1084100000000001,0.975,2000,2026
B00,B01,gearboxEmu,section_00,source,pauc_max_fpr_0_1,0.5810526315789474,0.6126315789473684,0.03157894736842104,0.03583789473684211,-0.0378947368421052,0.11999999999999988,0.8165,2000,2026
B00,B01,gearboxEmu,section_00,target,auc,0.562,0.5608,-0.0012000000000000899,-0.0013417999999999991,-0.043200000000000016,0.04400000000000004,0.462,2000,2026
B00,B01,gearboxEmu,section_00,target,pauc_max_fpr_0_1,0.52,0.52,0.0,0.004610526315789474,-0.06736842105263163,0.0842631578947366,0.5125,2000,2026
B00,B01,sliderEmu,section_00,all,auc,0.5612,0.5845,0.023299999999999987,0.023518249999999994,0.00018999999999997965,0.04740250000000009,0.975,2000,2026
B00,B01,sliderEmu,section_00,all,pauc_max_fpr_0_1,0.5047368421052632,0.5031578947368421,-0.0015789473684210131,0.002916842105263158,-0.02105263157894738,0.030539473684210502,0.5765,2000,2026
B00,B01,sliderEmu,section_00,source,auc,0.6380000000000001,0.6692,0.031199999999999894,0.031209800000000003,0.002389999999999957,0.06120000000000003,0.9805,2000,2026
B00,B01,sliderEmu,section_00,source,pauc_max_fpr_0_1,0.5347368421052632,0.5621052631578948,0.027368421052631597,0.024335789473684213,-0.012631578947368438,0.0736842105263158,0.885,2000,2026
B00,B01,sliderEmu,section_00,target,auc,0.486,0.49479999999999996,0.008799999999999975,0.008492799999999995,-0.03279999999999994,0.04920000000000002,0.662,2000,2026
B00,B01,sliderEmu,section_00,target,pauc_max_fpr_0_1,0.5094736842105263,0.5136842105263157,0.004210526315789442,0.006231578947368425,-0.03578947368421048,0.0505263157894737,0.601,2000,2026
B00,B01,valveEmu,section_00,all,auc,0.7015,0.5495,-0.15200000000000002,-0.1525787,-0.21240250000000002,-0.09300000000000008,0.0,2000,2026
B00,B01,valveEmu,section_00,all,pauc_max_fpr_0_1,0.5615789473684211,0.5026315789473684,-0.05894736842105264,-0.058382894736842106,-0.11053947368421053,-0.01473684210526316,0.0055,2000,2026
