system,machine_type,section,domain,normal_clips,anomaly_clips,auc,pauc_max_fpr_0_1
B00,ToyCar,section_00,all,100,100,0.5576,0.5442105263157895
B00,ToyCar,section_00,source,50,50,0.554,0.4968421052631579
B00,ToyCar,section_00,target,50,50,0.6387999999999999,0.5578947368421052
B00,ToyCarEmu,section_00,all,100,100,0.6961999999999999,0.611578947368421
B00,ToyCarEmu,section_00,source,50,50,0.6204000000000001,0.5515789473684211
B00,ToyCarEmu,section_00,target,50,50,0.858,0.6294736842105263
B00,bearingEmu,section_00,all,100,100,0.5979,0.5957894736842105
B00,bearingEmu,section_00,source,50,50,0.6199999999999999,0.5852631578947368
B00,bearingEmu,section_00,target,50,50,0.5800000000000001,0.6147368421052631
B00,fan,section_00,all,100,100,0.5505,0.533157894736842
B00,fan,section_00,source,50,50,0.6292,0.5915789473684211
B00,fan,section_00,target,50,50,0.46359999999999996,0.5094736842105263
B00,gearboxEmu,section_00,all,100,100,0.592,0.5263157894736842
B00,gearboxEmu,section_00,source,50,50,0.6452,0.5810526315789474
B00,gearboxEmu,section_00,target,50,50,0.562,0.52
B00,sliderEmu,section_00,all,100,100,0.5612,0.5047368421052632
B00,sliderEmu,section_00,source,50,50,0.6380000000000001,0.5347368421052632
B00,sliderEmu,section_00,target,50,50,0.486,0.5094736842105263
B00,valveEmu,section_00,all,100,100,0.7015,0.5615789473684211
B00,valveEmu,section_00,source,50,50,0.7603999999999999,0.5621052631578948
B00,valveEmu,section_00,target,50,50,0.654,0.5557894736842105
B01,ToyCar,section_00,all,100,100,0.5766,0.5442105263157895
B01,ToyCar,section_00,source,50,50,0.5772,0.49473684210526314
B01,ToyCar,section_00,target,50,50,0.6679999999999999,0.5578947368421052
B01,ToyCarEmu,section_00,all,100,100,0.6371,0.5426315789473685
B01,ToyCarEmu,section_00,source,50,50,0.5780000000000001,0.5726315789473684
B01,ToyCarEmu,section_00,target,50,50,0.7408,0.5242105263157895
B01,bearingEmu,section_00,all,100,100,0.6742,0.6031578947368421
B01,bearingEmu,section_00,source,50,50,0.6672,0.5894736842105264
B01,bearingEmu,section_00,target,50,50,0.6759999999999999,0.6210526315789474
B01,fan,section_00,all,100,100,0.5839000000000001,0.5057894736842106
B01,fan,section_00,source,50,50,0.8128,0.6442105263157895
B01,fan,section_00,target,50,50,0.3596,0.4926315789473684
B01,gearboxEmu,section_00,all,100,100,0.6118,0.5405263157894737
B01,gearboxEmu,section_00,source,50,50,0.6991999999999999,0.6126315789473684
B01,gearboxEmu,section_00,target,50,50,0.5608,0.52
B01,sliderEmu,section_00,all,100,100,0.5845,0.5031578947368421
B01,sliderEmu,section_00,source,50,50,0.6692,0.5621052631578948
B01,sliderEmu,section_00,target,50,50,0.49479999999999996,0.5136842105263157
B01,valveEmu,section_00,all,100,100,0.5495,0.5026315789473684
B01,valveEmu,section_00,source,50,50,0.4948,0.48
B01,valveEmu,section_00,target,50,50,0.6,0.5178947368421053
B02,ToyCar,section_00,all,100,100,0.5728,0.5373684210526316
B02,ToyCar,section_00,source,50,50,0.5736000000000001,0.5094736842105263
B02,ToyCar,section_00,target,50,50,0.646,0.5578947368421052
B02,ToyCarEmu,section_00,all,100,100,0.6887999999999999,0.5684210526315789
B02,ToyCarEmu,section_00,source,50,50,0.6188,0.5494736842105263
B02,ToyCarEmu,section_00,target,50,50,0.8076,0.5726315789473684
B02,bearingEmu,section_00,all,100,100,0.5987,0.596842105263158
B02,bearingEmu,section_00,source,50,50,0.6176,0.5789473684210527
B02,bearingEmu,section_00,target,50,50,0.5796000000000001,0.6168421052631579
B02,fan,section_00,all,100,100,0.5489999999999999,0.5352631578947369
B02,fan,section_00,source,50,50,0.6296,0.5894736842105264
B02,fan,section_00,target,50,50,0.46119999999999994,0.5073684210526316
B02,gearboxEmu,section_00,all,100,100,0.5901000000000001,0.5378947368421052
B02,gearboxEmu,section_00,source,50,50,0.6208,0.5915789473684211
B02,gearboxEmu,section_00,target,50,50,0.5848000000000001,0.52
B02,sliderEmu,section_00,all,100,100,0.5633,0.5052631578947369
B02,sliderEmu,section_00,source,50,50,0.6368,0.5431578947368421
B02,sliderEmu,section_00,target,50,50,0.48519999999999996,0.5052631578947369
B02,valveEmu,section_00,all,100,100,0.6811999999999999,0.5542105263157895
B02,valveEmu,section_00,source,50,50,0.7112,0.5642105263157895
B02,valveEmu,section_00,target,50,50,0.6564000000000001,0.5452631578947369
