tap,fault_set,fault_family,clips,retention_median,retention_q05,direction_median,transport_error_median,transport_error_q90
0,heldout,friction_burst,643,0.9302852629306991,0.6209686442202004,0.794530299961912,0.6218671971036815,0.8753753905636065
0,in_support,amplitude_modulation,2411,0.787526210631889,0.3449074460192558,0.6893702226312676,0.7323614145680755,0.9366466889648835
0,in_support,frequency_modulation,2340,0.8808103251491404,0.5508659752515731,0.46312372357000636,1.0352023151803011,1.5046808099356181
0,in_support,periodic_resonance,2249,0.876834115846331,0.41574954826128724,0.7657198765974483,0.655322338216131,0.9757623223741666
4,heldout,friction_burst,643,0.9355737312599972,0.6085902359343263,0.859925183390936,0.5155630270778242,0.799855885605793
4,in_support,amplitude_modulation,2411,0.6776480038104797,0.192185126924516,0.7472189817334809,0.6736562114189097,0.9365551138968202
4,in_support,frequency_modulation,2340,0.8331673912033714,0.3891000949187572,0.564378203786879,0.883194602885027,1.1611065072776303
4,in_support,periodic_resonance,2249,0.8716077668290255,0.37358511790905535,0.8010592693224504,0.6050422115734674,0.9540800904924531
8,heldout,friction_burst,643,0.9447596344055549,0.5967977652830165,0.8598198308660874,0.5184923177451871,0.7976702360431768
8,in_support,amplitude_modulation,2411,0.6963521196117534,0.109151896752495,0.7274102840077747,0.6928008020220026,0.9705536270098194
8,in_support,frequency_modulation,2340,0.8051790282347716,0.2571756927390126,0.6260343895263478,0.8153133827409447,1.0530671757990435
8,in_support,periodic_resonance,2249,0.8671640468047416,0.31179832313711214,0.7942419891387522,0.613719103606237,0.9486199590507016
12,heldout,friction_burst,643,0.9515514452501791,0.5744937196155796,0.868475432612757,0.4999655227853597,0.7985519723024121
12,in_support,amplitude_modulation,2411,0.6971683585385476,0.08023257345921583,0.7336516284483948,0.6898830275298593,0.9847574387379628
12,in_support,frequency_modulation,2340,0.7730218519506489,0.1936420165870017,0.6409099336743895,0.8010331258272129,1.0311979096874528
12,in_support,periodic_resonance,2249,0.8612826253254673,0.27870905313319055,0.8029514968899898,0.6057580151061978,0.9437846190273598
