epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale
1,5.9999999999999995e-05,0.05310664680600167,0.05310664680600167,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0.00011999999999999999,0.04624185256447111,0.04624185256447111,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0.00017999999999999998,0.04215593166862216,0.04215593166862216,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0.00023999999999999998,0.04029959610104561,0.04029959610104561,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.0003,0.039324327911649436,0.039324327911649436,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0003,0.038644542081015455,0.038644542081015455,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.00029974622374069024,0.03822810073409762,0.03822810073409762,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.00029898575366129145,0.037873264461755755,0.037873264461755755,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0.0002977211629518312,0.03760354620644025,0.03760354620644025,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0.00029595673058697357,0.03739695508139474,0.03739695508139474,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,0.00029369842684732334,0.037204478136130745,0.037204478136130745,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0002909538931178862,0.037046942787511014,0.037046942787511014,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0.0002877324160320411,0.036901237824133466,0.036901237824133466,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,0.0002840448960485118,0.036774048886128834,0.036774048886128834,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.0002799038105676658,0.03667468601039478,0.03667468601039478,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,0.00027532317171194046,0.036558761409350805,0.036558761409350805,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,0.00027031847891325657,0.036446253716945654,0.036446253716945654,0.0,0.0,0.0,1.0,0.0,0.0,0.0
