epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale,derived_from_candidate,reference_safety_mode,maximum_reference_contraction
1,6e-05,0.0531066468060016,0.0531066468060016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
2,0.0001199999999999,0.0462418525644711,0.0462418525644711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
3,0.0001799999999999,0.0421559316686221,0.0421559316686221,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
4,0.0002399999999999,0.0402995961010456,0.0402995961010456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
5,0.0003,0.0393243279116494,0.0393243279116494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
6,0.0003,0.0386445420810154,0.0386445420810154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
7,0.0002997462237406,0.0382281007340976,0.0382281007340976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
8,0.0002989857536612,0.0378732644617557,0.0378732644617557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
9,0.0002977211629518,0.0376035462064402,0.0376035462064402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
10,0.0002959567305869,0.0373969550813947,0.0373969550813947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
11,0.0002936984268473,0.0372044781361307,0.0372044781361307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
12,0.0002909538931178,0.037046942787511,0.037046942787511,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
13,0.000287732416032,0.0369012378241334,0.0369012378241334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
14,0.0002840448960485,0.0367740488861288,0.0367740488861288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
15,0.0002799038105676,0.0366746860103947,0.0366746860103947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
16,0.0002753231717119,0.0365587614093508,0.0365587614093508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
17,0.0002703184789132,0.0364462537169456,0.0364462537169456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
18,0.0002649066664678,0.0363343217372894,0.0363343217372894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
19,0.0002591060462359,0.0362382836341857,0.0362382836341857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
20,0.0002529362456803,0.0361421447609152,0.0361421447609152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
21,0.0002464181414529,0.036041420502322,0.036041420502322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
22,0.0002395737887554,0.0359569105250494,0.0359569105250494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
23,0.0002324263467106,0.0358752583989075,0.0358752583989075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
24,0.000225,0.0357770928442478,0.0357770928442478,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
25,0.00021731987703,0.0357078700874533,0.0357078700874533,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
26,0.0002094119649058,0.0356301739088126,0.0356301739088126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
27,0.0002013030214988,0.0355795002962861,0.0355795002962861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
28,0.0001930204849066,0.0355173012401376,0.0355173012401376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
29,0.0001845923806113,0.0354560579018933,0.0354560579018933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
30,0.00017604722665,0.0353868005318301,0.0353868005318301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
31,0.0001674139371187,0.0353480863826615,0.0353480863826615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
32,0.0001587217243365,0.0352925342874867,0.0352925342874867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
33,0.00015,0.0352557745235306,0.0352557745235306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
34,0.0001412782756634,0.0352144696457045,0.0352144696457045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
35,0.0001325860628812,0.0351704769900866,0.0351704769900866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
36,0.0001239527733499,0.0351351668238639,0.0351351668238639,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
37,0.0001154076193886,0.035108097408499,0.035108097408499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
