epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale
1,5.9999999999999995e-05,0.05313652485609055,0.05313652485609055,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0.00011999999999999999,0.0467867874290262,0.0467867874290262,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0.00017999999999999998,0.04272964247635433,0.04272964247635433,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0.00023999999999999998,0.04115836989453861,0.04115836989453861,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.0003,0.040368818568331855,0.040368818568331855,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0003,0.03990948290058545,0.03990948290058545,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.00029974622374069024,0.03955442181229592,0.03955442181229592,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.00029898575366129145,0.039275754890271596,0.039275754890271596,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0.0002977211629518312,0.03912399025048529,0.03912399025048529,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0.00029595673058697357,0.038980865870203295,0.038980865870203295,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,0.00029369842684732334,0.03880908681665148,0.03880908681665148,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0002909538931178862,0.038704485859189716,0.038704485859189716,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0.0002877324160320411,0.03862345447710582,0.03862345447710582,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,0.0002840448960485118,0.03854943249481065,0.03854943249481065,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.0002799038105676658,0.03848028328589031,0.03848028328589031,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,0.00027532317171194046,0.03840767272029604,0.03840767272029604,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,0.00027031847891325657,0.03833048315133367,0.03833048315133367,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,0.00026490666646784665,0.038296290746756965,0.038296290746756965,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,0.0002591060462359573,0.0382374538396086,0.0382374538396086,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,0.00025293624568031,0.03817339433091028,0.03817339433091028,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0.0002464181414529809,0.03816467784132276,0.03816467784132276,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,0.00023957378875541792,0.03812523592369897,0.03812523592369897,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,0.0002324263467106209,0.03806602799892426,0.03806602799892426,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0.000225,0.038038400364773614,0.038038400364773614,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,0.00021731987703006933,0.03801789836372648,0.03801789836372648,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,0.0002094119649058735,0.03796212673613004,0.03796212673613004,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,0.00020130302149885031,0.03794308295420238,0.03794308295420238,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,0.00019302048490666353,0.03792325769577708,0.03792325769577708,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,0.00018459238061136602,0.03788539023484503,0.03788539023484503,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,0.00017604722665003956,0.037871436655521395,0.037871436655521395,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,0.00016741393711878453,0.03784326970151493,0.03784326970151493,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,0.00015872172433657134,0.03785384121537209,0.03785384121537209,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,0.00015,0.037798658396516534,0.037798658396516534,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0.00014127827566342863,0.03777798426577023,0.03777798426577023,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,0.00013258606288121542,0.03775728839210102,0.03775728839210102,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0.00012395277334996044,0.037749659827777324,0.037749659827777324,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,0.00011540761938863397,0.03772363103713308,0.03772363103713308,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,0.0001069795150933365,0.03770865895066943,0.03770865895066943,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,9.869697850114969e-05,0.03770271619728634,0.03770271619728634,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,9.058803509412646e-05,0.037678828614098686,0.037678828614098686,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,8.268012296993067e-05,0.037664629395518984,0.037664629395518984,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,7.500000000000002e-05,0.037657960155180525,0.037657960155180525,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,6.75736532893791e-05,0.03764585451568876,0.03764585451568876,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,6.04262112445821e-05,0.03763439143981253,0.03763439143981253,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,5.358185854701909e-05,0.037622806761946,0.037622806761946,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,4.706375431968997e-05,0.037611905527966366,0.037611905527966366,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,4.089395376404269e-05,0.037605799155575895,0.037605799155575895,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,3.509333353215331e-05,0.03759959458879062,0.03759959458879062,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,2.9681521086743422e-05,0.03759131947585515,0.03759131947585515,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,2.4676828288059558e-05,0.03758571189641953,0.03758571189641953,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,2.009618943233419e-05,0.03757899842091969,0.03757899842091969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,1.5955103951488173e-05,0.03757238365496908,0.03757238365496908,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,1.2267583967958916e-05,0.0375682002391134,0.0375682002391134,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,9.046106882113751e-06,0.03756567775351661,0.03756567775351661,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,6.301573152676664e-06,0.037564004595790595,0.037564004595790595,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,4.043269413026429e-06,0.03756304125700678,0.03756304125700678,0.0,0.0,0.0,1.0,0.0,0.0,0.0
57,2.2788370481687965e-06,0.03755850626315389,0.03755850626315389,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,1.0142463387085464e-06,0.03755927717259952,0.03755927717259952,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,2.5377625930977363e-07,0.037557782781975614,0.037557782781975614,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,0.0,0.03755695610812732,0.03755695610812732,0.0,0.0,0.0,1.0,0.0,0.0,0.0
