epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale,tangent_transport,function_anchor,tangent_relative_error,function_anchor_ratio
1,2.5e-05,0.9864476845605034,0.03326319307088852,0.0,0.0,0.0,0.6329781000273569,0.0,0.0,1.0,0.9531844938823155,0.0,0.676672560623714,0.0
2,5e-05,0.9861238270487105,0.03326319298573903,0.0,0.0,0.0,0.6329780951908657,0.0,0.0,1.0,0.952860629286085,0.0,0.6766725572858538,0.0
3,5e-05,0.9864725510052273,0.03326319256850652,0.0,0.0,0.0,0.6329781002998353,0.0,0.0,1.0,0.9532093593052456,0.0,0.6766725573539735,0.0
4,4.983095894354858e-05,0.9866253634861538,0.03326319265365601,0.0,0.0,0.0,0.6329781036376954,0.0,0.0,1.0,0.9533621748515538,0.0,0.6766725566727775,0.0
5,4.9326121764495596e-05,0.9860117973600115,0.03326319303257125,0.0,0.0,0.0,0.6329781020028251,0.0,0.0,1.0,0.952748601777213,0.0,0.6766725570133755,0.0
6,4.849231551964771e-05,0.9866616610118322,0.033263193441288814,0.0,0.0,0.0,0.6329781106540135,0.0,0.0,1.0,0.9533984683581762,0.0,0.6766725551741465,0.0
7,4.734081600808531e-05,0.9862866104670934,0.033263192904847014,0.0,0.0,0.0,0.6329780992780414,0.0,0.0,1.0,0.9530234165872847,0.0,0.6766725528580803,0.0
8,4.588719528532342e-05,0.9864828598839896,0.033263192875044686,0.0,0.0,0.0,0.6329781025477819,0.0,0.0,1.0,0.953219665663583,0.0,0.6766725556509836,0.0
9,4.415111107797445e-05,0.9864710589817592,0.033263193211385184,0.0,0.0,0.0,0.6329781003679549,0.0,0.0,1.0,0.9532078608785357,0.0,0.6766725568090167,0.0
10,4.215604094671835e-05,0.9863385284968785,0.0332631924365248,0.0,0.0,0.0,0.632978100844792,0.0,0.0,1.0,0.9530753337315151,0.0,0.6766725546291896,0.0
11,3.9928964792569655e-05,0.9864048803874426,0.03326319305172989,0.0,0.0,0.0,0.6329781050000872,0.0,0.0,1.0,0.9531416873931885,0.0,0.676672555582864,0.0
12,3.7500000000000003e-05,0.9866093442099436,0.033263192887817115,0.0,0.0,0.0,0.6329781069074358,0.0,0.0,1.0,0.9533461503982544,0.0,0.6766725520406451,0.0
13,3.490199415097892e-05,0.9863986300059728,0.03326319284098489,0.0,0.0,0.0,0.6329781025477819,0.0,0.0,1.0,0.9531354433468411,0.0,0.6766725491115025,0.0
14,3.217008081777726e-05,0.9865125484466554,0.03326319314752307,0.0,0.0,0.0,0.6329780997548785,0.0,0.0,1.0,0.9532493553161622,0.0,0.6766725540161134,0.0
15,2.9341204441673266e-05,0.9864022994041444,0.03326319299851145,0.0,0.0,0.0,0.632978100844792,0.0,0.0,1.0,0.9531391068867275,0.0,0.6766725563321795,0.0
16,2.6453620722761896e-05,0.9864355946949551,0.033263192934649334,0.0,0.0,0.0,0.6329780998229981,0.0,0.0,1.0,0.9531724089213781,0.0,0.6766725557191032,0.0
17,2.3546379277238107e-05,0.9865278946331569,0.03326319322841508,0.0,0.0,0.0,0.6329780996867589,0.0,0.0,1.0,0.9532647017751422,0.0,0.6766725591250828,0.0
18,2.0658795558326743e-05,0.986351163319179,0.033263192530189244,0.0,0.0,0.0,0.6329781097003392,0.0,0.0,1.0,0.9530879678726197,0.0,0.67667255626406,0.0
19,1.7829919182222752e-05,0.9866437999861581,0.03326319267920086,0.0,0.0,0.0,0.6329781037739346,0.0,0.0,1.0,0.9533806057657515,0.0,0.6766725545610701,0.0
20,1.509800584902108e-05,0.986527017729623,0.03326319252380303,0.0,0.0,0.0,0.6329781054769243,0.0,0.0,1.0,0.9532638231686185,0.0,0.6766725576264518,0.0
21,1.2500000000000006e-05,0.986186941419329,0.03326319292187691,0.0,0.0,0.0,0.6329780955314637,0.0,0.0,1.0,0.9529237493787494,0.0,0.6766725541523525,0.0
22,1.0071035207430352e-05,0.9864439793314254,0.03326319287930216,0.0,0.0,0.0,0.632978105204446,0.0,0.0,1.0,0.9531807886532375,0.0,0.6766725534711566,0.0
23,7.843959053281663e-06,0.9864901197297233,0.033263192947421756,0.0,0.0,0.0,0.632978104046413,0.0,0.0,1.0,0.9532269269398281,0.0,0.6766725625991822,0.0
24,5.848888922025553e-06,0.9863515441758293,0.033263192892074585,0.0,0.0,0.0,0.6329781038420541,0.0,0.0,1.0,0.953088353906359,0.0,0.6766725548335485,0.0
25,4.112804714676594e-06,0.9861663295200893,0.03326319289633206,0.0,0.0,0.0,0.6329781047276088,0.0,0.0,1.0,0.9529031329836165,0.0,0.6766725593975612,0.0
26,2.659183991914696e-06,0.9861908164024353,0.03326319239820753,0.0,0.0,0.0,0.632978100163596,0.0,0.0,1.0,0.95292762531553,0.0,0.6766725540161134,0.0
27,1.5076844803522922e-06,0.9865224023546492,0.03326319257702146,0.0,0.0,0.0,0.6329781025477819,0.0,0.0,1.0,0.9532592093603952,0.0,0.6766725632122585,0.0
28,6.738782355044049e-07,0.9861495306832451,0.03326319297722408,0.0,0.0,0.0,0.6329780970300948,0.0,0.0,1.0,0.952886340890612,0.0,0.6766725472041539,0.0
29,1.6904105645142444e-07,0.9862564011301314,0.033263192640883586,0.0,0.0,0.0,0.6329781041145325,0.0,0.0,1.0,0.9529932091576713,0.0,0.6766725561278207,0.0
30,0.0,0.9862746455328806,0.03326319285801479,0.0,0.0,0.0,0.632978103705815,0.0,0.0,1.0,0.9530114518574306,0.0,0.6766725591250828,0.0
